Lon,Lat,Easting,Northing,Height_Ellipsoid,Height_Sealevel,Total Gravity,Free Air Disturbance,Topo Free Disturbance
116.2212717,-31.52120402,426064.25037949946,6512370.534120781,206.73,235.6,1.4943620093031311,-2.18307067011483,-46.03068839552745
116.2212811,-31.52042764,426064.53138417617,6512456.5934785325,209.068,237.94,1.5470804072397186,-1.3462655276525766,-46.03423754412665
116.2201659,-31.52127499,425959.3140816892,6512361.921264531,217.752,246.63,0.230451916527727,-0.0509882234036922,-47.58970477230161
116.2202286,-31.52033165,425964.52324576094,6512466.52229809,216.532,245.41,1.1261488399090922,0.5441365067381412,-46.585155505584325
116.2190959,-31.52124091,425857.69405114156,6512364.975187352,221.841,250.72,-0.506791318161504,0.476491303066723,-48.39619846446701
116.2191869,-31.52034058,425865.623187562,6512464.828259302,219.737,248.62,0.3226963120828259,0.7291176010621712,-47.31941976752067
116.2181342,-31.521265530000004,425766.40310737374,6512361.595250406,222.158,251.05000000000004,-0.7261972954051998,0.3529378802049905,-48.474130137198614
116.2170213,-31.52126403,425660.7355534077,6512361.0070583485,221.151,250.05000000000004,-0.6019067444544817,0.1665613689692691,-48.69713107015117
116.2159314,-31.52124334,425557.2365430459,6512362.560415709,222.021,250.92,-0.7382772611335895,0.3003626320278272,-48.90136002877928
116.2148639,-31.52122639,425455.86725616996,6512363.713444961,219.538,248.45,-0.0489722739198441,0.2247101080138236,-47.792252666206025
116.2138226,-31.52120177,425356.9794322202,6512365.733468193,214.724,243.64,0.7201444959191576,-0.4899265000130981,-47.14534847300385
116.2128014,-31.52121305,425260.02856393356,6512363.787145512,213.8,242.72,0.689098555106284,-0.8070534305879846,-47.65834779401179
116.2117301,-31.52119948,425158.3010522528,6512364.56004937,215.085,244.02,0.2175301224360737,-0.8809416324365884,-49.356754118217
116.21176280000002,-31.520372660000003,425160.74663397647,6512456.226200853,217.298,246.23,0.010614782545872,-0.3382903377059847,-49.173955405515926
116.2107043,-31.52118116,425060.8897964074,6512365.889560801,213.91,242.85,0.3219854258531995,-1.1376497342716902,-50.29151618737282
116.2106842,-31.52039954,425058.3573592292,6512452.509725408,214.267,243.2,0.4280540545337317,-0.8584677258040756,-50.012085505729004
116.2097477,-31.52114038,424970.0308751895,6512369.75498633,211.54100000000005,240.49,0.6431720279588262,-1.5443211736856028,-50.63142400660125
116.209652,-31.52029367,424960.2675912343,6512463.53788171,212.89,241.83,0.3774453757973788,-1.3255338558228686,-50.44582952323306
116.208586,-31.52116568,424859.7511055192,6512366.154762655,212.942,241.89,0.0439133484464946,-1.7132279435172677,-51.23448860123405
116.2085968,-31.52037009,424860.1396991849,6512454.344518321,216.261,245.21,-0.3436052069523612,-1.0123508085962385,-50.687438418237036
116.207478,-31.52117538,424754.5575326619,6512364.319331645,212.644,241.6,-0.4086968253764098,-2.2585904931183904,-51.527435305801234
116.2074826,-31.52039836,424754.3714428446,6512450.44657216,216.882,245.84,-0.9534007649258456,-1.4327644332079217,-51.22334436297566
116.2180149,-31.52029539,425754.30863594124,6512469.043602584,220.891,249.78,0.3074021153233843,1.0736182085238395,-47.49505371449821
116.2169706,-31.5202952,425655.1544485154,6512468.356651832,219.122,248.02,0.3331552479153288,0.5534242483554408,-47.488389297550654
116.2170341,-31.51949366,425660.5488973733,6512557.241478028,218.515,247.41,0.954032383874619,1.0515001345193014,-46.73024377098555
116.217013,-31.51854297,425657.7926274452,6512662.600508167,222.606,251.5,0.5090938165017178,1.9457006434677169,-47.34693191807188
116.215944,-31.52039535,425557.7603975526,6512456.559210783,218.457,247.36,0.5913301868536109,0.5982980190310627,-47.101264116121314
116.2159609,-31.51951249,425558.66491792735,6512554.425864082,218.293,247.19,0.9655843367086164,0.9930205931887032,-46.85117571603872
116.2159533,-31.51850251,425557.1424207113,6512666.365690747,226.062,254.96,-0.4267581770068318,2.079721379559487,-48.235879768437414
116.2149938,-31.52032611,425467.48605439067,6512463.587812657,219.48,248.39,0.3368778678691342,0.665146887069568,-47.40599244093544
116.2149393,-31.51943953,425461.60743543063,6512561.818246924,221.761,250.67,0.1174622456028373,1.2210936811752615,-47.664132373558246
116.2149072,-31.51848848,425457.80441788764,6512667.209681876,228.49,257.39,-0.9841073227039489,2.272847334854305,-48.81898252311266
116.2138758,-31.52040632,425361.3981358789,6512453.93648712,216.942,245.86,0.6547803902049054,0.1932935152435675,-47.10625431521232
116.2139062,-31.51942613,425363.5052333189,6512562.600332908,220.272,249.19,0.2614952806166002,0.9066591780865564,-47.590089793123866
116.2138663,-31.51857121,425359.0370439354,6512657.331501091,224.6,253.51,-0.4363074040929859,1.6134283414576205,-48.37066652591109
116.2128243,-31.52042212,425261.57312676765,6512451.468564902,216.709,245.63,0.3270707888741526,-0.2075986033305525,-47.789884797242806
116.2128461,-31.51943114,425262.85403151787,6512561.322537399,220.874,249.79,0.0094554108554802,0.8400097520789132,-47.7567855585538
116.2128054,-31.51848843,425258.23907151417,6512665.783676843,223.928,252.85,-0.3716919986345601,1.4773111927788705,-47.73844443981657
116.2117856,-31.51942616,425162.1568852403,6512561.150775081,219.668,248.6,0.0017513425304969,0.4605016929563135,-48.54298661483716
116.2117709,-31.51847984,425160.0067287197,6512666.029773489,224.264,253.19,-0.5968488199246167,1.3565446914872157,-48.76537861377291
116.2107388,-31.519412809999995,425062.7538337317,6512561.915128157,218.36,247.29,0.2166782750709899,0.2728182732826099,-49.379917787198934
116.2106882,-31.51848802,425057.21116550465,6512664.383214471,224.43500000000003,253.37,-0.9181775424867736,1.0873325993306937,-49.57704232670936
116.2096445,-31.51942075,424958.85769133887,6512560.286246344,220.517,249.46,-0.4653407647447238,0.2558700762456283,-49.877103086734365
116.2096462,-31.51854941,424958.32259579614,6512656.865772459,227.788,256.73,-1.8170466230644704,1.2183465578127652,-49.8700105628064
116.2085997,-31.51941581,424859.6512110156,6512560.117873624,222.297,251.25,-1.191737672766067,0.0792278506560251,-50.22293778304477
116.2086243,-31.51848139,424861.2390553042,6512663.704831412,229.683,258.63,-2.460437835463836,1.165278941160068,-49.62551438455763
